Category Name,letter,image name1,image 2,image 3,image 4,note
Default Round 1 (Dispute Credit Report Items) ,"{client first_name) {client last_name) 
{client_address} 
{bdate} 
{ss_number) 
{bureau_address) 
{curr_date} 
Re: Letter to Remove Inaccurate Credit Information 
To Whom It May Concern: 
I received a copy of my credit report and found the following item(s) to be in error: 
{dispute_item_and_explanation) 
By the provisions of the Fair Credit Reporting Act, I demand that these items be investigated and removed 
from my report It is my understanding that you will recheck these items with the creditor who has posted 
them. Please remove any information that the creditor cannot verify. I understand that under 15 IJ S.C. 
Sec 1681 i(a), you must complete this reinvestigation within 30 days of receipt of this letter. Please send an updated copy of my credit report to the above address. According to the act, there shall be 
no charge for this report. I also request that you please send notices of corrections to anyone who 
received my credit report in the past six months. 
Thank you for your time and help in this matter 
Sincerely, 
{client_signature) 
{client first_name) {client last_name)",https://prnt.sc/24kmphp,,,,
Request Annual Credit Report,"{client_first_name} {client_last_name}
{client_address}	
Annual Credit Report Request Service	
PO_ Box 105281	
Atlanta, GA 30348-5281	
{curr_date}	
Re: Request for Complimentary Annual Credit Reports	
To Whom It May Concern,	
I am writing to request my complimentary annual credit report from: Experian,	
Full Name:	{client_first_name} {client_last_name}
{bdate)	
{ss_number}	
Address: {client_address}	
{t_no}	
Enclosed are copies of documents identifying me by my name and address.	
Thank you for your time and help in this matter	
Sincerely yours,	
{client_signature}	
{client_first_name} {client_last_name}	",https://prnt.sc/24kmtol,,,,
100 Word Consumer Statement,"{client_first_name} {client_last_name}	
{client_address}	
{bureau_address}	
Full Name:	{client_first_name} {client_last_name}	
{bdate}	
{ss_number}	
{client_address}	
{t_no}	
{client_previous_address}	
{curr_date}	
Re: Credit Report Number (ENTER IF AVAILABLE) 1 Add consumer statement	
To Whom It May Concern,	
Please add following personal statement to my credit history report	
(YOUR 100 WORD (OR LESS) STATEMENT GOES HERE)	
Enclosed are copies of documents identifying me by my name and address.	
Thank you for your time and help in this matter.	
Sincerely yours,	
{client_signature}	",https://prnt.sc/24kna0n,,,,
Bureau No Respnse,"{client_first_name} {client_last_name}
{client_address}	
{bdate}	
{ss_number}	
{bureau_addræs}	
{curr_date}	
To Whom It May Concern,	
This letter is a formal complaint that you have ignored my previous request and failed to maintain	
reasonable procedures in your operations to assure maximum possible accuracy in the credit reports you	
publish. Credit reporting laws ensure that bureaus report only 100% accurate credit information and every	
step must be taken to assure the information reported iS completely accurate and correct.	
Please refer to my previous letter for the information that needs to be re-investigated.	
{dispute_item_and_explanation}	
The information must deleted from my report as soon as possible. The information is inaccurate and	
misleading and as such represents a very serious error in your reporting	
Under federal law, you nave thin,' (30) days to complete your re-investigaton. Be advised that the	
description of the procedure used to determine the accuracy and completeness of the information is	
hereby requested as well, to be provided within fifteen (15) days of the completion of your re-investigation_	
Sincerely yours,	
{client_signature}	
{client_first_name} {client_last_name}	",https://prnt.sc/24knzz1,,,,
Bureau Re-investigation ,"{client_first_name} {client_last_name}	
{client_address}	
{bdate}	
{ss_number}	
{bureau_address}	
Attn: Customer Relations Department	
{curr_date}	
To Whom It May Concern,	
I am in total disagreement with your investigation rEponse. The incorrect items listed below still appear	
on my credit report, even after your investigation. I would like these items immediately re-investigated and	
for good cause. These inaccuracies are highly injurious to my credit rating.	
{dispute_item_and_explanation}
Furthermore, In accordance with The Fair Credit Reporting Act. Public law 91-506, Title VI, Section 611,	
Subsection A-D, I demand that you provide actual proof the information was verified, not a computer	
generated confirmation_	
Please provide:	
1. The names and business addresses of each individual with whom you verified the information with	
above. so that I may follow up.	
2. The date you contacted the individual funishers of information.	
3. The meth0d of communication you used to verify the information	
I would also like to know ifthe fumisner provided you With my SSN, address or DOB.	
Please forward an updated credit report to me after you have completed your investigation and	
corrections.	Please provide:	
1. The names and business addresses of each individual with whom you verified the information with	
above, so that I may follow up.	
2. The date you contacted the individual funishers of information.	
3. The method of communication you used to verify the information	
I would also like to know if the fumisher provided you with my SSN, address or DOB.	
Please forward an updated credit report to me after you have completed your investigation and	
corrections.	
Your cooperation and prompt attention are required by law	
Sincerely,	
{client_signature}	
{client_first_name} {client_last_name}	",https://prnt.sc/24kod7r    ,https://prnt.sc/24koz4z,,,
Bureau Warning,"{client_first_name} {client_last_name}	
{client_address}	
{bdate}	
{ss_number}	
{bureau_address}	
Re: Waming to Remove Incorrect Items from my Credit Report	
{curr_date}	
To Whom It May Concern:	
I recently sent you a request to reinvestigate the information previously disputed. I have attached my	
previous correspondence for you to revisit.	
The computer-generated response I received is unacceptable and I am losing patience. If the information	
is not immediately reinvestigated and removed, I will be forced to seek legal counsel for relief through the	
court and file complaints with regulatory enforcement agencies including the CFPB, FTC and my state	
attomey general.	
Remove this incorrect information at onæ and send me an updated copy of my credit history report	
{dispute_item_and_explanation}	
I also request that you please send notiæs of corrections to anyone who received my credit report in the	
past six months.	
Sincerely,	
{client_signature}	
{client_first_name} {client_last_name}	",https://prnt.sc/24kp79u,,,,
Credit Inquiry Removal Request,"{client_first_name} {client_last_name}	
{client_address}
{client_previous_address}	
{bureau_address}	
{curr_date)	
RE: Request for Investigation of Unauthorized Inquiry	
To Whom It May Concern ,	
I checked my personal credit report, which I acquired from your organization on (INSERT DATE OF	
REPORT) and I noticed that this unauthorized inquiry had been made:	
{dispute_item_and_explanation}	
I contacted (CREDITOR/FURNISHERS NAME), who placed the inquiry, and asked them to remove their	
credit inquiry from my credit profile. I also asked them to cease their illegal activities immediately, but to	
date there nave been no responses from their office. Since sending the letter more than 30 business days	
ago, they have failed to respond and honor my request	
Therefore, I must request your help in resolving this matter In accordance with the Fair Credit Reporting	
Act, I request you immediately initiate an investigation into this inquiry on my credit report to determine	
who authorized the inquiry. If, once your investigation is complete, you find my allegation to be true, please	
remove the unauthorized inquiry from my credit report and send me an updated copy of my credit report at	
my address listed above. If you do find the inquiry referenced above to be valid, I request that you please	
send me a full description of the procedures used in your investigation within 15 business days of the	
completion of the investigation	
Thank you for your help and assistance.	
Sincerely,	
{client_signature}	",https://prnt.sc/24kppg2,,,,
Demand to Comply with Investigation Request,"{client_first_name} {client_last_name}
{client_address}	
{client_previous_address}	
{bdate}	
{ss_number}	
{bureau_address}	
Attn.: Consumer Relations	
{curr_date}	
To Whom It May Concern,	
On (DATE), I wrote to you requesting an investigation into items that I believed were (CHOOSE:	
INNACCURATE, OUTDATED OR OBSOLETE). TO date, I have not received a reply from you or any	
acknowledgment that an investigation has begun In my previous request, I listed my reasons for disputing	
the information. I have enclosed it again and request that you reply Within a reasonable amount of time.	
Since this is my (SECOND, THIRD.FOURTH, ETC) ) request, I Will also be sending a copy of this letter to	
the Federal Trade Commission notifying them that I have signed receipts for letters sent to you and you	
have not complied with my request. I regret that I am forced to take such action.	
Please see my reasons for dispute below:	
{dispute_item_and_explanation}	
I also understand that you are required to notify me of your investigation results within 30 days and provide	
me With an updated copy of my credit report. My contact information is provided b,e10W'.	
Sincerely,	
{client_signature}	",https://prnt.sc/24kqjlh,,,,
Dispute Accounts That Should  Be Includen in BK,"{client_first_name} {client_last_name}	
Client_address}	
{client_previous_address}	
SS#: {client_social_security}	
{credit_bureau)	
{bureau_address}	
{curr_date}	
Re: (CREDIT REPORT NUMBER):	
To Whom It May Concern,	
The below account(s) should all show the following: included in bankruptcy. Accordingly, pursuant to the	
Fair Credit Reporting Act, please investigate and correct this inaccurate information.	
{dispute_item_and_explanation}	
Upon completion of this process, please mail an updated report to:	
{client_first_name} {client_last_name}	
Client_address}	
{client_previous_address}	
Sincerely,	
{client_signature}	",https://prnt.sc/24kqktp,,,,
"Dispute After Investigation: ""The Prove t"" Letter","{client_first_name} {client_last_name}	
{client_address)	
{t_no}	
{bdate)	
{ss_number}	
{bureau_address}	
Attn: Customer Relations Department	
{curr date)	
To Whom It May Concern,	
I am in disagreement with the items listed below which still appear on my credit report, even after your	
Investigation I would like these items immediately re-investigated_ These inaccuracies are highly injurious	
to my credit rating.	
{dispute_item _and_explanation}	
Furthermore, In accordance with The Fair Credit Reporting Act, Public law 91-506, Title VI, Section 611,	
Subsection A-D, please provide the names and business addresses of each individual with whom you	
verified the above, so that I may follow up.	
Please forward me an updated credit report after you have completed your Investigation and corrections.	
Your cooperation and prompt attention are greatly appreciated.	
Sincerely yours,	
{client_signature}	",https://prnt.sc/24kqlxl,,,,
